rep,guard,recall,fpr
72,v2,0.8549080954243253,0.0
72,v3,1.0,0.0
73,v2,0.8513142408787759,0.0
73,v3,1.0,0.0
74,v2,0.8507404520654716,0.0
74,v3,1.0,0.0
75,v2,0.8517801857585139,0.0
75,v3,1.0,0.0
76,v2,0.8541584548679543,0.0
76,v3,1.0,0.0
77,v2,0.8511465215701516,0.0
77,v3,1.0,0.0
78,v2,0.855686274509804,0.0
78,v3,1.0,0.0
79,v2,0.8581477139507621,0.0
79,v3,1.0,0.0
80,v2,0.8522772277227723,0.0
80,v3,1.0,0.0
81,v2,0.8601728201099764,0.0
81,v3,1.0,0.0
82,v2,0.8529182879377432,0.0
82,v3,1.0,0.0
83,v2,0.8526234567901234,0.0
83,v3,1.0,0.0
84,v2,0.8543956043956044,0.0
84,v3,1.0,0.0
85,v2,0.8556501547987616,0.0
85,v3,1.0,0.0
86,v2,0.8539682539682539,0.0
86,v3,1.0,0.0
87,v2,0.8583202511773941,0.0
87,v3,1.0,0.0
88,v2,0.8572561459159397,0.0
88,v3,1.0,0.0
89,v2,0.8570872274143302,0.0
89,v3,1.0,0.0
90,v2,0.8505520504731862,0.0
90,v3,1.0,0.0
91,v2,0.8509634290208415,0.0
91,v3,1.0,0.0
92,v2,0.8540772532188842,0.0
92,v3,1.0,0.0
93,v2,0.8488188976377953,0.0
93,v3,1.0,0.0
94,v2,0.8539976825028969,0.0
94,v3,1.0,0.0
95,v2,0.8488871534556813,0.0
95,v3,1.0,0.0
96,v2,0.8566473988439306,0.0
96,v3,1.0,0.0
97,v2,0.8573099415204678,0.0
97,v3,1.0,0.0
98,v2,0.8554216867469879,0.0
98,v3,1.0,0.0
99,v2,0.8517065515888583,0.0
99,v3,1.0,0.0
100,v2,0.8435294117647059,0.0
100,v3,1.0,0.0
101,v2,0.8578034682080925,0.0
101,v3,1.0,0.0
102,v2,0.8468118195956454,0.0
102,v3,1.0,0.0
103,v2,0.852627419992098,0.0
103,v3,1.0,0.0
104,v2,0.8585461689587426,0.0
104,v3,1.0,0.0
105,v2,0.8527370855821126,0.0
105,v3,1.0,0.0
106,v2,0.85703125,0.0
106,v3,1.0,0.0
107,v2,0.8539370078740157,0.0
107,v3,1.0,0.0
108,v2,0.8526023043305523,0.0
108,v3,1.0,0.0
109,v2,0.8562524347487339,0.0
109,v3,1.0,0.0
110,v2,0.8576443057722309,0.0
110,v3,1.0,0.0
111,v2,0.8553654743390358,0.0
111,v3,1.0,0.0
112,v2,0.8494329292139225,0.0
112,v3,1.0,0.0
113,v2,0.8514619883040936,0.0
113,v3,1.0,0.0
114,v2,0.8561833267483209,0.0
114,v3,1.0,0.0
115,v2,0.8499040307101727,0.0
115,v3,1.0,0.0
116,v2,0.8503875968992248,0.0
116,v3,1.0,0.0
117,v2,0.8477834444880346,0.0
117,v3,1.0,0.0
118,v2,0.8546511627906976,0.0
118,v3,1.0,0.0
119,v2,0.8549141965678627,0.0
119,v3,1.0,0.0
120,v2,0.8606299212598425,0.0
120,v3,1.0,0.0
121,v2,0.8504455637349865,0.0
121,v3,1.0,0.0
122,v2,0.8584420719652036,0.0
122,v3,1.0,0.0
123,v2,0.8587771203155818,0.0
123,v3,1.0,0.0
124,v2,0.860665362035225,0.0
124,v3,1.0,0.0
125,v2,0.8527222875048962,0.0
125,v3,1.0,0.0
126,v2,0.8570300157977883,0.0
126,v3,1.0,0.0
127,v2,0.8548073180225769,0.0
127,v3,1.0,0.0
128,v2,0.8549501151189562,0.0
128,v3,1.0,0.0
129,v2,0.8552373479795998,0.0
129,v3,1.0,0.0
130,v2,0.8534278959810875,0.0
130,v3,1.0,0.0
131,v2,0.8474308300395257,0.0
131,v3,1.0,0.0
132,v2,0.8467238689547582,0.0
132,v3,1.0,0.0
133,v2,0.8558487593540764,0.0
133,v3,1.0,0.0
134,v2,0.8571981424148607,0.0
134,v3,1.0,0.0
135,v2,0.855908912446015,0.0
135,v3,1.0,0.0
136,v2,0.8591772151898734,0.0
136,v3,1.0,0.0
137,v2,0.8544747081712062,0.0
137,v3,1.0,0.0
138,v2,0.8563706563706563,0.0
138,v3,1.0,0.0
139,v2,0.8582584927762593,0.0
