slug,family,repo,tool_parser,min_vram_gb,full_bench,counts_for_closure,gated,extra_server_args,gpu_eligible,token_eligible
granite33_2b,Granite,ibm-granite/granite-3.3-2b-instruct,granite,7.0,True,True,False,[],True,True
qwen25_3b,Qwen,Qwen/Qwen2.5-3B-Instruct,hermes,7.5,True,True,False,[],True,True
ministral3_3b_bf16,Mistral,mistralai/Ministral-3-3B-Instruct-2512-BF16,mistral,11.0,True,True,False,['--language-model-only'],True,True
phi4_mini,Phi,microsoft/Phi-4-mini-instruct,phi4_mini_json,9.0,False,False,False,['--trust-remote-code'],True,True
xlam_1b,xLAM,Salesforce/xLAM-1b-fc-r,xlam,5.5,False,False,False,[],True,True
xlam2_3b,xLAM,Salesforce/xLAM-2-3b-fc-r,xlam,7.5,False,False,False,[],True,True
qwen25_7b_awq,Qwen,Qwen/Qwen2.5-7B-Instruct-AWQ,hermes,10.5,False,False,False,[],True,True
llama32_3b,Llama,meta-llama/Llama-3.2-3B-Instruct,llama3_json,8.0,False,False,True,[],True,False
